Algorithm,Parameters,Mean Guesses,Case 3 Freq (%),Max Drift (N),Time (s)
Bayesian Search,{'quantile': 0.75},58.08,24.99,17164,111.2131
Bayesian Search,{'quantile': 0.76},60.6,23.75,13879,69.2631
Bayesian Search,{'quantile': 0.77},57.29,22.62,15826,63.7599
Bayesian Search,{'quantile': 0.78},57.87,21.58,15231,62.2867
Bayesian Search,{'quantile': 0.79},58.41,20.47,13349,61.1142
Bayesian Search,{'quantile': 0.8},58.96,19.6,15856,60.1296
Bayesian Search,{'quantile': 0.81},56.55,18.3,11190,56.1438
Bayesian Search,{'quantile': 0.82},58.12,17.35,8312,56.1559
Bayesian Search,{'quantile': 0.83},57.19,16.04,10060,53.5764
Bayesian Search,{'quantile': 0.84},56.88,15.24,10287,51.9136
Bayesian Search,{'quantile': 0.85},56.77,14.2,7684,50.1953
Bayesian Search,{'quantile': 0.86},59.55,13.23,7485,51.3803
Bayesian Search,{'quantile': 0.87},60.0,12.19,5018,50.5221
Bayesian Search,{'quantile': 0.88},58.78,11.39,5084,48.2666
Bayesian Search,{'quantile': 0.89},59.57,10.18,4949,46.9816
Bayesian Search,{'quantile': 0.9},61.03,9.21,4493,46.5273
