Algorithm,Parameters,Mean Guesses,Case 3 Freq (%),Max Drift (N),Death Spiral Rate (%),Time (s)
Asymmetric Heuristic Search (AHS),{'alpha': 0.5},889.29,63.79,601170,28.0,0.2132
Asymmetric Heuristic Search (AHS),{'alpha': 0.51},740.51,58.28,601036,22.85,0.1715
Asymmetric Heuristic Search (AHS),{'alpha': 0.52},693.76,57.34,601139,21.25,0.1618
Asymmetric Heuristic Search (AHS),{'alpha': 0.53},904.53,59.09,601192,28.65,0.2124
Asymmetric Heuristic Search (AHS),{'alpha': 0.54},1053.07,58.19,601182,33.75,0.246
Asymmetric Heuristic Search (AHS),{'alpha': 0.55},807.64,62.27,601168,25.4,0.1908
Asymmetric Heuristic Search (AHS),{'alpha': 0.56},861.91,55.93,601177,27.25,0.2048
Asymmetric Heuristic Search (AHS),{'alpha': 0.57},750.15,60.82,601147,23.5,0.177
Asymmetric Heuristic Search (AHS),{'alpha': 0.58},889.85,59.88,601184,28.35,0.2101
Asymmetric Heuristic Search (AHS),{'alpha': 0.59},739.23,60.32,601162,23.15,0.1758
Asymmetric Heuristic Search (AHS),{'alpha': 0.6},774.64,52.41,601155,24.4,0.1775
Asymmetric Heuristic Search (AHS),{'alpha': 0.61},749.13,56.56,601187,23.6,0.1754
Asymmetric Heuristic Search (AHS),{'alpha': 0.62},869.34,49.58,601189,27.7,0.2026
Asymmetric Heuristic Search (AHS),{'alpha': 0.63},853.87,53.36,600608,27.15,0.1984
Asymmetric Heuristic Search (AHS),{'alpha': 0.64},582.26,46.48,600560,17.95,0.1363
Asymmetric Heuristic Search (AHS),{'alpha': 0.65},631.83,44.77,601104,19.6,0.1959
Asymmetric Heuristic Search (AHS),{'alpha': 0.66},773.76,53.85,601125,24.5,0.1846
Asymmetric Heuristic Search (AHS),{'alpha': 0.67},968.51,52.09,601193,31.2,0.2692
Asymmetric Heuristic Search (AHS),{'alpha': 0.68},765.17,47.63,600798,24.25,0.1887
Asymmetric Heuristic Search (AHS),{'alpha': 0.69},533.75,51.25,601161,16.35,0.1239
Asymmetric Heuristic Search (AHS),{'alpha': 0.7},756.47,42.5,601192,24.0,0.1688
Asymmetric Heuristic Search (AHS),{'alpha': 0.71},582.4,36.54,600689,18.1,0.1286
Asymmetric Heuristic Search (AHS),{'alpha': 0.72},900.47,39.21,601194,28.95,0.2016
Asymmetric Heuristic Search (AHS),{'alpha': 0.73},964.6,46.13,600799,31.15,0.2358
Asymmetric Heuristic Search (AHS),{'alpha': 0.74},516.44,35.17,601136,15.9,0.1174
Asymmetric Heuristic Search (AHS),{'alpha': 0.75},596.83,39.68,600902,18.6,0.1333
Asymmetric Heuristic Search (AHS),{'alpha': 0.76},946.72,41.73,600878,30.6,0.2139
Asymmetric Heuristic Search (AHS),{'alpha': 0.77},871.74,33.63,601152,28.05,0.1933
Asymmetric Heuristic Search (AHS),{'alpha': 0.78},799.01,34.32,601157,25.55,0.1768
Asymmetric Heuristic Search (AHS),{'alpha': 0.79},858.84,42.19,600866,27.55,0.1947
Asymmetric Heuristic Search (AHS),{'alpha': 0.8},544.49,36.14,600656,16.9,0.1225
Asymmetric Heuristic Search (AHS),{'alpha': 0.81},954.56,37.49,600950,30.85,0.2122
Asymmetric Heuristic Search (AHS),{'alpha': 0.82},833.74,30.81,601164,26.8,0.1927
Asymmetric Heuristic Search (AHS),{'alpha': 0.83},788.13,41.15,601197,25.15,0.1803
Asymmetric Heuristic Search (AHS),{'alpha': 0.84},704.88,27.98,601192,22.4,0.1544
Asymmetric Heuristic Search (AHS),{'alpha': 0.85},609.67,23.79,601191,19.15,0.1417
Asymmetric Heuristic Search (AHS),{'alpha': 0.86},734.92,27.13,600954,23.4,0.1575
Asymmetric Heuristic Search (AHS),{'alpha': 0.87},583.0,23.62,601193,18.25,0.1364
Asymmetric Heuristic Search (AHS),{'alpha': 0.88},950.23,21.84,601178,30.7,0.1974
Asymmetric Heuristic Search (AHS),{'alpha': 0.89},785.74,26.56,600409,25.1,0.1732
Asymmetric Heuristic Search (AHS),{'alpha': 0.9},829.58,28.81,600738,26.55,0.179
Asymmetric Heuristic Search (AHS),{'alpha': 0.91},650.11,21.45,600963,20.45,0.1466
Asymmetric Heuristic Search (AHS),{'alpha': 0.92},640.64,17.89,600968,20.1,0.135
Asymmetric Heuristic Search (AHS),{'alpha': 0.93},708.86,20.78,600217,22.35,0.1499
Asymmetric Heuristic Search (AHS),{'alpha': 0.94},826.72,17.13,600423,26.3,0.1755
Asymmetric Heuristic Search (AHS),{'alpha': 0.95},768.89,16.38,600773,24.25,0.1615
Asymmetric Heuristic Search (AHS),{'alpha': 0.96},728.86,14.82,597754,22.8,0.1488
Asymmetric Heuristic Search (AHS),{'alpha': 0.97},713.55,10.41,600755,22.1,0.1431
Asymmetric Heuristic Search (AHS),{'alpha': 0.98},700.3,8.49,599437,21.3,0.1398
Asymmetric Heuristic Search (AHS),{'alpha': 0.99},683.3,6.16,599091,19.75,0.1355
