Algorithm,Parameters,Mean Guesses,Case 3 Freq (%),Max Drift (N),Time (s)
Asymmetric Heuristic Search (AHS),{'alpha': 0.25},751.45,82.85,600990,0.1906
Asymmetric Heuristic Search (AHS),{'alpha': 0.26},864.51,79.81,601135,0.2149
Asymmetric Heuristic Search (AHS),{'alpha': 0.27},1071.92,81.28,600885,0.2658
Asymmetric Heuristic Search (AHS),{'alpha': 0.28},804.37,78.77,601098,0.1974
Asymmetric Heuristic Search (AHS),{'alpha': 0.29},1008.87,75.3,601140,0.2457
Asymmetric Heuristic Search (AHS),{'alpha': 0.3},925.31,75.0,601139,0.2248
Asymmetric Heuristic Search (AHS),{'alpha': 0.31},946.95,77.25,601072,0.2354
Asymmetric Heuristic Search (AHS),{'alpha': 0.32},815.51,78.55,601157,0.202
Asymmetric Heuristic Search (AHS),{'alpha': 0.33},844.4,76.21,601183,0.2086
Asymmetric Heuristic Search (AHS),{'alpha': 0.34},873.8,70.38,601089,0.212
Asymmetric Heuristic Search (AHS),{'alpha': 0.35},783.04,71.49,601057,0.1897
Asymmetric Heuristic Search (AHS),{'alpha': 0.36},871.2,72.92,601101,0.2166
Asymmetric Heuristic Search (AHS),{'alpha': 0.37},939.08,73.64,601123,0.23
Asymmetric Heuristic Search (AHS),{'alpha': 0.38},826.53,72.29,601056,0.2019
Asymmetric Heuristic Search (AHS),{'alpha': 0.39},671.93,67.16,601098,0.1618
Asymmetric Heuristic Search (AHS),{'alpha': 0.4},747.56,77.45,601086,0.1842
Asymmetric Heuristic Search (AHS),{'alpha': 0.41},878.15,70.61,601153,0.213
Asymmetric Heuristic Search (AHS),{'alpha': 0.42},903.72,73.82,601162,0.2221
Asymmetric Heuristic Search (AHS),{'alpha': 0.43},695.43,63.44,601028,0.1677
Asymmetric Heuristic Search (AHS),{'alpha': 0.44},760.11,67.64,600673,0.1821
Asymmetric Heuristic Search (AHS),{'alpha': 0.45},900.49,65.24,601184,0.2152
Asymmetric Heuristic Search (AHS),{'alpha': 0.46},634.03,57.53,601047,0.1499
Asymmetric Heuristic Search (AHS),{'alpha': 0.47},737.68,66.58,601177,0.1815
Asymmetric Heuristic Search (AHS),{'alpha': 0.48},778.89,60.2,601193,0.1833
Asymmetric Heuristic Search (AHS),{'alpha': 0.49},738.95,63.06,600783,0.1785
Asymmetric Heuristic Search (AHS),{'alpha': 0.5},872.08,63.04,601160,0.2096
Asymmetric Heuristic Search (AHS),{'alpha': 0.51},709.07,58.65,601088,0.1668
Asymmetric Heuristic Search (AHS),{'alpha': 0.52},721.7,56.6,601064,0.1695
Asymmetric Heuristic Search (AHS),{'alpha': 0.53},800.0,59.56,601101,0.1916
Asymmetric Heuristic Search (AHS),{'alpha': 0.54},1063.63,59.7,600796,0.247
Asymmetric Heuristic Search (AHS),{'alpha': 0.55},801.71,60.98,601192,0.1898
Asymmetric Heuristic Search (AHS),{'alpha': 0.56},816.64,54.51,601075,0.1924
Asymmetric Heuristic Search (AHS),{'alpha': 0.57},731.34,60.67,601056,0.172
Asymmetric Heuristic Search (AHS),{'alpha': 0.58},891.96,59.99,601103,0.2154
Asymmetric Heuristic Search (AHS),{'alpha': 0.59},838.1,59.08,601180,0.1967
Asymmetric Heuristic Search (AHS),{'alpha': 0.6},700.68,54.69,601168,0.1635
Asymmetric Heuristic Search (AHS),{'alpha': 0.61},831.06,52.65,601123,0.1929
Asymmetric Heuristic Search (AHS),{'alpha': 0.62},848.2,51.13,601192,0.1971
Asymmetric Heuristic Search (AHS),{'alpha': 0.63},830.52,54.03,600625,0.1956
Asymmetric Heuristic Search (AHS),{'alpha': 0.64},538.8,47.65,601110,0.125
Asymmetric Heuristic Search (AHS),{'alpha': 0.65},667.52,45.53,601129,0.1498
Asymmetric Heuristic Search (AHS),{'alpha': 0.66},740.37,52.54,601163,0.1696
Asymmetric Heuristic Search (AHS),{'alpha': 0.67},1000.64,51.69,601185,0.2299
Asymmetric Heuristic Search (AHS),{'alpha': 0.68},782.08,47.09,601142,0.1786
Asymmetric Heuristic Search (AHS),{'alpha': 0.69},518.68,51.24,600754,0.1231
Asymmetric Heuristic Search (AHS),{'alpha': 0.7},731.29,39.97,600398,0.1609
Asymmetric Heuristic Search (AHS),{'alpha': 0.71},647.03,38.78,601149,0.1442
Asymmetric Heuristic Search (AHS),{'alpha': 0.72},856.63,38.66,601130,0.1892
Asymmetric Heuristic Search (AHS),{'alpha': 0.73},992.03,46.6,600811,0.225
Asymmetric Heuristic Search (AHS),{'alpha': 0.74},588.44,36.33,601181,0.1302
Asymmetric Heuristic Search (AHS),{'alpha': 0.75},594.81,41.8,600833,0.1388
Asymmetric Heuristic Search (AHS),{'alpha': 0.76},966.71,42.07,600621,0.2141
Asymmetric Heuristic Search (AHS),{'alpha': 0.77},930.97,34.17,600918,0.2029
Asymmetric Heuristic Search (AHS),{'alpha': 0.78},835.67,35.16,601148,0.1784
Asymmetric Heuristic Search (AHS),{'alpha': 0.79},881.69,41.84,600904,0.1946
Asymmetric Heuristic Search (AHS),{'alpha': 0.8},620.04,35.27,600648,0.133
Asymmetric Heuristic Search (AHS),{'alpha': 0.81},953.86,36.04,600782,0.2063
Asymmetric Heuristic Search (AHS),{'alpha': 0.82},916.77,30.03,601200,0.1983
Asymmetric Heuristic Search (AHS),{'alpha': 0.83},744.86,40.44,601180,0.1643
Asymmetric Heuristic Search (AHS),{'alpha': 0.84},726.96,26.06,600934,0.1546
Asymmetric Heuristic Search (AHS),{'alpha': 0.85},581.57,23.1,600916,0.1216
Asymmetric Heuristic Search (AHS),{'alpha': 0.86},734.22,28.4,600847,0.1547
Asymmetric Heuristic Search (AHS),{'alpha': 0.87},626.53,23.45,601193,0.1298
Asymmetric Heuristic Search (AHS),{'alpha': 0.88},886.2,21.56,600178,0.1822
Asymmetric Heuristic Search (AHS),{'alpha': 0.89},819.43,27.67,600967,0.1765
Asymmetric Heuristic Search (AHS),{'alpha': 0.9},798.04,26.98,600586,0.167
Asymmetric Heuristic Search (AHS),{'alpha': 0.91},721.86,19.76,600384,0.1484
Asymmetric Heuristic Search (AHS),{'alpha': 0.92},650.08,17.39,600373,0.1341
Asymmetric Heuristic Search (AHS),{'alpha': 0.93},756.15,21.96,600659,0.1569
Asymmetric Heuristic Search (AHS),{'alpha': 0.94},753.67,17.31,600935,0.1527
Asymmetric Heuristic Search (AHS),{'alpha': 0.95},776.2,16.92,600026,0.1561
Asymmetric Heuristic Search (AHS),{'alpha': 0.96},762.98,15.88,599792,0.1539
Asymmetric Heuristic Search (AHS),{'alpha': 0.97},713.09,11.01,598270,0.1399
Asymmetric Heuristic Search (AHS),{'alpha': 0.98},713.4,11.31,600548,0.1452
Asymmetric Heuristic Search (AHS),{'alpha': 0.99},672.53,6.55,596579,0.1304
