Algorithm,Parameters,Mean Guesses,Case 3 Freq (%),Max Drift (N),Time (s)
Risk-Optimized Skew,{'alpha': 0.6},105.85,44.75,53099,0.0235
Risk-Optimized Skew,{'alpha': 0.61},104.2,43.6,39282,0.0228
Risk-Optimized Skew,{'alpha': 0.62},104.46,42.52,39478,0.0231
Risk-Optimized Skew,{'alpha': 0.63},99.82,41.35,32472,0.022
Risk-Optimized Skew,{'alpha': 0.64},98.07,40.28,40881,0.0208
Risk-Optimized Skew,{'alpha': 0.65},97.25,38.95,30845,0.02
Risk-Optimized Skew,{'alpha': 0.66},98.66,38.22,36197,0.0205
Risk-Optimized Skew,{'alpha': 0.67},96.4,36.89,32672,0.0189
Risk-Optimized Skew,{'alpha': 0.68},91.45,35.7,30999,0.018
Risk-Optimized Skew,{'alpha': 0.69},91.89,34.64,39910,0.0184
Risk-Optimized Skew,{'alpha': 0.7},84.84,33.26,32195,0.0164
Risk-Optimized Skew,{'alpha': 0.71},87.81,32.31,23087,0.0167
Risk-Optimized Skew,{'alpha': 0.72},87.84,31.28,22124,0.0162
Risk-Optimized Skew,{'alpha': 0.73},84.63,30.1,27914,0.0152
Risk-Optimized Skew,{'alpha': 0.74},85.0,28.76,24836,0.015
Risk-Optimized Skew,{'alpha': 0.75},82.28,27.89,20896,0.0147
Risk-Optimized Skew,{'alpha': 0.76},85.98,26.75,31087,0.0148
Risk-Optimized Skew,{'alpha': 0.77},78.25,25.6,18148,0.0135
Risk-Optimized Skew,{'alpha': 0.78},80.72,24.29,20758,0.0134
Risk-Optimized Skew,{'alpha': 0.79},82.76,23.36,16270,0.0136
Risk-Optimized Skew,{'alpha': 0.8},80.93,22.09,14611,0.0128
Risk-Optimized Skew,{'alpha': 0.81},76.98,20.93,12322,0.0121
Risk-Optimized Skew,{'alpha': 0.82},78.77,20.01,12573,0.0122
Risk-Optimized Skew,{'alpha': 0.83},75.85,19.09,11660,0.0116
Risk-Optimized Skew,{'alpha': 0.84},78.08,17.68,16400,0.0115
Risk-Optimized Skew,{'alpha': 0.85},75.05,16.63,13017,0.011
Risk-Optimized Skew,{'alpha': 0.86},76.2,15.52,10121,0.0106
Risk-Optimized Skew,{'alpha': 0.87},76.16,14.32,10185,0.0105
Risk-Optimized Skew,{'alpha': 0.88},77.38,13.28,8510,0.0103
Risk-Optimized Skew,{'alpha': 0.89},76.43,12.24,7856,0.01
Risk-Optimized Skew,{'alpha': 0.9},78.57,11.09,7628,0.0102
