Algorithm,Parameters,Mean Guesses,Case 3 Freq (%),Max Drift (N),Time (s)
Risk-Optimized Skew,{'alpha': 0.6},109.61,44.74,45829,0.0726
Risk-Optimized Skew,{'alpha': 0.61},104.68,43.6,34020,0.0675
Risk-Optimized Skew,{'alpha': 0.62},101.14,42.51,50484,0.062
Risk-Optimized Skew,{'alpha': 0.63},97.08,41.39,29951,0.0586
Risk-Optimized Skew,{'alpha': 0.64},99.1,40.34,34195,0.0684
Risk-Optimized Skew,{'alpha': 0.65},99.04,39.0,37981,0.059
Risk-Optimized Skew,{'alpha': 0.66},96.2,37.99,30610,0.0556
Risk-Optimized Skew,{'alpha': 0.67},94.78,36.91,23948,0.054
Risk-Optimized Skew,{'alpha': 0.68},91.34,35.76,24596,0.0515
Risk-Optimized Skew,{'alpha': 0.69},88.91,34.65,23669,0.05
Risk-Optimized Skew,{'alpha': 0.7},89.59,33.42,25854,0.0487
Risk-Optimized Skew,{'alpha': 0.71},88.43,32.32,31547,0.053
Risk-Optimized Skew,{'alpha': 0.72},86.52,31.32,22040,0.0475
Risk-Optimized Skew,{'alpha': 0.73},84.24,29.96,29412,0.042
Risk-Optimized Skew,{'alpha': 0.74},86.9,28.99,19571,0.0447
Risk-Optimized Skew,{'alpha': 0.75},80.16,27.66,22146,0.039
Risk-Optimized Skew,{'alpha': 0.76},85.76,26.8,17474,0.0425
Risk-Optimized Skew,{'alpha': 0.77},83.8,25.64,16942,0.039
Risk-Optimized Skew,{'alpha': 0.78},79.27,24.38,13745,0.035
Risk-Optimized Skew,{'alpha': 0.79},79.62,23.33,14998,0.0367
Risk-Optimized Skew,{'alpha': 0.8},79.24,22.25,17504,0.035
Risk-Optimized Skew,{'alpha': 0.81},79.62,21.03,15258,0.0342
Risk-Optimized Skew,{'alpha': 0.82},79.16,19.97,14002,0.0326
Risk-Optimized Skew,{'alpha': 0.83},78.17,18.87,11128,0.0319
Risk-Optimized Skew,{'alpha': 0.84},78.53,17.64,12562,0.0321
Risk-Optimized Skew,{'alpha': 0.85},77.56,16.68,14730,0.0293
Risk-Optimized Skew,{'alpha': 0.86},78.38,15.44,10697,0.0299
Risk-Optimized Skew,{'alpha': 0.87},73.62,14.43,9121,0.027
Risk-Optimized Skew,{'alpha': 0.88},77.55,13.29,11005,0.0277
Risk-Optimized Skew,{'alpha': 0.89},77.49,12.08,7846,0.0271
Risk-Optimized Skew,{'alpha': 0.9},78.25,11.05,7500,0.0269
